Hello GP-ufjf!
NumTree: 1
TotalTrain : 410
TotalTest : 307
TotalValidation : 307
Criar populacao inicial
pop criada
0 556.134 
1 0 556.134 
2 0 556.134 
3 0 556.134 
4 0 556.134 
5 0 556.134 
6 0 556.134 
7 0 556.134 
8 0 556.134 
9 0 556.134 
10 0 556.134 
11 0 556.134 
12 0 556.134 
13 0 556.134 
14 0 556.134 
15 0 556.134 
16 0 556.134 
17 0 556.134 
18 0 556.134 
19 0 556.134 
20 0 556.134 
21 0 556.134 
22 0 556.134 
23 0 556.134 
24 0 556.134 
25 0 556.134 
26 0 556.134 
27 0 556.134 
28 0 556.134 
29 0 556.134 
30 0 556.134 
31 0 556.134 
32 0 556.134 
33 0 556.134 
34 0 556.134 
35 0 556.134 
36 0 556.134 
37 0 556.134 
38 0 556.134 
39 0 556.134 
40 0 556.134 
41 0 556.134 
42 0 556.134 
43 0 556.134 
44 0 556.134 
45 0 556.134 
46 0 556.134 
47 0 556.134 
48 0 556.134 
49 0 556.134 
50 0 556.134 
51 0 556.134 
52 0 556.134 
53 0 1084.13 
54 0 1084.13 
55 0 1084.13 
56 0 1084.13 
57 0 1084.13 
58 0 1084.13 
59 0 1084.13 
60 0 1084.13 
61 0 1084.13 
62 0 1084.13 
63 0 1084.13 
64 0 1084.13 
65 0 1084.13 
66 0 1084.13 
67 0 1084.13 
68 0 1084.13 
69 0 1084.13 
70 0 1084.13 
71 0 1084.13 
72 0 1084.13 
73 0 1084.13 
74 0 1084.13 
75 0 1084.13 
76 0 1084.13 
77 0 1084.13 
78 0 1084.13 
79 0 1084.13 
80 0 1084.13 
81 0 1084.13 
82 0 1084.13 
83 0 1084.13 
84 0 1084.13 
85 0 1084.13 
86 0 1084.13 
87 0 1084.13 
88 0 1084.13 
89 0 1084.13 
90 1 1163 
91 1 1163 
92 1 1163 
93 1 1163 
94 1 1232.25 
95 1 1232.25 
96 1 1232.25 
97 1 1232.25 
98 1 1232.25 
99 1 1232.25 
0 0 674.267
3 0 413.077
5 0 398.6
10 0 355.5
1232.25 674.267 413.077 398.6 355.5
